Numer uchwały,Beneficjent,Koszt,Nazwa projektu,Data uchwały
99,Radzie Mieszkańców DS Bursa Jagiellońska,2200.0,"""Chicago z DS BJ""",31 maja 2022
100,WRSS WP,378.62,"""Teatr mój widzę Tan go""",31 maja 2022
101,WRSS WP,468.4,"""Dzielni Studenci""",31 maja 2022
102,AKT Rozdroże,2500.0,"""Rajd Posesyjny 2022 Góry Lelu chowskie w Beskidzie Sądeckim""",31 maja 2022
103,WRSS WB,10613.0,"""Powitanie Lata""",31 maja 2022
105,Stowarzyszeniu All in UJ,4300.0,"""""Science First poznaj praktyczny wymiar nauki"" finał 4. sezonu""",31 maja 2022
106,WRSS WH,600.0,"""Bluzy dla Wydziału Historycznego, pierwszy etap projektu""",31 maja 2022
108,Uczelnianemu Zespołowi Mobilności Samorządu Studentów Uniwersytetu Jagiellońskiego,6572.95,"""Zakończenie wiosennej edycji SKJ """,31 maja 2022
109,WRSS WP,328.0,"""Naklejki WRSS Wydziału Polonistyki""",1 czerwca 2022
110,AKT Rozdroże,5400.0,""" Wakacyjny Rajd AKT Rozdroże Bieszczady 2022""",6 czerwca 2022
111,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,26087.42,"""Laudacje studenckie 2022""",6 czerwca 2022
112,WRSS WZiKS,5407.0,"""Kino Plenerowe na Kampusie UJ""",1 czerwca 2022
113,WRSS WBBiB,4296.0,"""Skrzyneczki menstruacyjne """,14 czerwca 2022
114,WRSS WP,4088.0,"""Zamówienie materiałów promocyjnych i konferencyjnych""",14 czerwca 2022
115,Stowarzyszeniu TęczUJ,295.29,"""Miesiąc Dumy z TęczUJ arts and crafts""",14 czerwca 2022
116,AKT Rozdroże,3600.0,"""Jesienny Rajd 2022 Przez doliny w Tatrach""",14 czerwca 2022
118,Zespołowi ds. Przeciwdziałania Przemocy i Dyskryminacji SSUJ,701.1,"""Mate riały promocyjne dla Zespołu ds. Przeciwdziałania przemocy i dyskryminacji Samorządu Studentów Uniwersytetu Jagiellońskiego """,20 czerwca 2022
119,Stowarzyszeniu All In UJ,2648.06,"""Zakończenie roku akademickiego 2021 2022 w Kryspinowie""",20 czerwca 2022
120,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,8800.0,"""Wyjazd roboczo integracyjny Uczelnia nej Komisji Kultury""",27 czerwca 2022
121,Stowarzyszeniu TęczUJ,2159.63,"""JESTEM HIACYNT """,27 czerwca 2022
122,WRSS Filologia,3495.0,"""Mo je wielkie filologiczne wakacje konkurs fotograficzny w ramach OZD""",27 czerwca 2022
123,WRSS WCh,4165.65,"""Zakup gadżetów na potrzeby akcji ""Cała Chemia wypełnia ankiety"" cz.I""",4 lipca 2022
124,"Radzie Mieszkańców DS ""Nawojka""",1200.0,"""Wakacje z Nawojką i Żaczkiem""",4 lipca 2022
125,Radzie Kół Naukowych Uniwersytetu Jagiellońskiego,7680.0,"""Wyjazd Szkoleniowo Integracyjny Rady Kół Naukowych UJ 22 23""",4 lipca 2022
126,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,8500.0,"""Dwa panele filmów szkoleniowych ""Odkryj tajniki skutecznej nauki"" i ""Przeciwdziałanie przemocy i dyskryminacji""""",4 lipca 2022
127,Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego,6800.0,"""Wyjazd szkoleniowo integracyjny Uczelnianej Komisji Dydaktycznej Samorządu Studentów Uniwersytetu Jagiellońskiego""",4 lipca 2022
128,WRSS WH,5730.0,"""Posesyjne warsztaty kulinarne z SSWH UJ """,4 lipca 2022
129,WRSS WH,9500.0,"""W rytmie Barki""",4 lipca 2022
130,WRSS WH,24263.1,"""Bluzy dla Wydziału Historycznego drugi etap projektu""",4 lipca 2022
131,WRSS WH,3400.0,"""Kanapka """,4 lipca 2022
132,WRSS WH,6000.0,"""Spotkania ws. podejrzenia nierównego traktowania w Instytucie Historii Sztuki""",4 lipca 2022
133,WRSS WPiA,1469.0,"""Dzień Zerowy z CyberLaw""",29 sierpnia 2022
134,Radzie Samorządu Studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego,8629.0,"""Obóz integracyjny studentów Międzywydziałowych Indywidualnych Studiów Humanistycznych Uniwersytetu Jagiellońskiego""",29 sierpnia 2022
135,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,27150.0,"""Spływ Barką SSUJ""",29 sierpnia 2022
137,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,89895.41,"""Dni Zero UJ 2022""",5 września 2022
138,Uczelnianej Komisji Kultury Samorządu Studentów Uniwersytetu Jagiellońskiego,925.0,"""Sesja zdjęciowa Zarządu SSUJ""",5 września 2022
139,Stowarzyszeniu Erasmus Student Network UJ Kraków,889.6,"""Gadżety promujące ESN UJ Kraków""",5 września 2022
140,Stowarzyszeniu Erasmus Student Network UJ Kraków,5465.0,"""Nagrody motywacyjne dla Członków i Alumnów ESN UJ Kraków""",5 września 2022
141,Bractwu Czapki Studenckiej UJ,3384.26,"""Obóz Adaptacyjny Brac twa Czapki Studenckiej UJ 2022 r.""",5 września 2022
142,Bractwu Czapki Studenckiej UJ,3632.84,"""Reacti ation 2022""",5 września 2022
143,Przewodniczącej Zarządu Samorządu Studentów UJ,15243.1,"""Dni szkoleniowe z ekspertami studenckimi Polskiej Komisji Akredytacyjnej""",8 września 2022
144,Wiceprzewodniczący(a) SSUJ,104894.4,"""Pakiety startowe 2022""",9 września 2022
145,Stowarzyszeniu Europejskie Forum Studentów AEGEE,626.0,"""AEGEE DAYS""",12 września 2022
146,WRSS WMiI,3577.86,"""Diamentowa Kreda 2022""",12 września 2022
147,Radzie Mieszkańców DS Bydgoska,545.0,"""Bluzy dla członków RM DS. Bydgoska""",12 września 2022
149,Stowarzyszeniu Erasmus Student Network UJ Kraków,1775.0,"""ORIENTATION WEEK WITH ESN UJ KRAKÓW""",19 września 2022
150,Stowarzyszeniu All in UJ,10995.0,"""Jubileuszowy Bal 10 lecia Stowarzysze nia All In UJ""",19 września 2022
